,id,length,cost/km (millions),cheap?,clength,ctunnel,anglo?,inflation index,real cost (2021 dollars)
58,7249.0,12.8,104.15234374999999,1.0,12.8,12.8,0.0,1.3440972222222225,1791.8832118055557
59,7250.0,21.5,155.30232558139534,0.0,0.0,0.0,0.0,1.1054585509138382,3691.1261015013056
60,7251.0,3.6,346.6666666666667,0.0,0.0,0.0,0.0,1.2585519012740187,1570.6727727899754
61,7256.0,4.7,210.48936170212767,1.0,4.7,4.7,0.0,1.1802137686524912,1167.5854813279095
62,7257.0,2.8,185.25000000000003,1.0,2.8,2.8,0.0,1.2426624353377114,644.569005209671
63,7258.0,7.6,206.28947368421052,1.0,7.6,7.6,0.0,1.2426624353377114,1948.2461661224638
64,7259.0,2.7,414.5555555555555,1.0,2.7,2.7,0.0,1.079101737506322,1207.8385747908262
65,7264.0,1.8,231.11111111111111,0.0,0.0,0.0,0.0,1.3440972222222225,559.1444444444446
66,7265.0,2.2,310.2272727272727,0.0,0.0,0.0,0.0,1.143251327963817,780.2690313353052
67,7266.0,4.4,265.9090909090909,0.0,0.0,0.0,0.0,1.0,1170.0
68,7267.0,15.5,225.2516129032258,1.0,15.5,15.5,0.0,1.144608340091917,3996.2855585969187
69,7272.0,1.6,88.94375,1.0,1.6,1.6,0.0,1.144608340091917,162.8892128784807
70,7273.0,8.2,331.609756097561,1.0,8.2,8.2,0.0,1.0,2719.2
71,7274.0,30.0,356.5,0.0,0.0,0.0,1.0,1.0,10695.0
72,7275.0,36.0,149.5,0.0,0.0,0.0,1.0,1.1290087372451638,6076.325023853472
73,7280.0,9.0,964.8039999999999,0.0,0.0,0.0,1.0,1.0,8683.235999999999
74,7281.0,41.9,591.4081145584726,0.0,0.0,0.0,1.0,1.1802137686524912,29245.69718720873
75,7282.0,43.0,656.9767441860464,0.0,0.0,0.0,1.0,1.059896658413421,29942.080600179142
76,7283.0,19.0,231.52631578947367,0.0,0.0,0.0,1.0,1.1290087372451638,4966.5094351414755
77,7288.0,20.2,80.1980198019802,0.0,0.0,0.0,0.0,1.144608340091917,1854.2655109489053
78,7289.0,33.5,448.95522388059703,0.0,0.0,0.0,0.0,1.059896658413421,15940.845742537853
79,7290.0,18.6,165.41935483870967,0.0,0.0,0.0,0.0,1.079101737506322,3320.180225959452
80,7291.0,23.5,219.72,0.0,0.0,0.0,0.0,1.0469802288156225,5405.998653071161
81,7296.0,32.3,211.70371517027866,0.0,0.0,0.0,0.0,1.0469802288156225,7159.28221404809
82,7297.0,2.7,139.73333333333335,0.0,0.0,0.0,0.0,1.1054585509138382,417.0674020887729
83,7298.0,24.9,158.86566265060242,0.0,0.0,0.0,0.0,1.0469802288156225,4141.597275038543
84,7299.0,14.5,191.9655172413793,0.0,0.0,0.0,0.0,1.1290087372451638,3142.5958201219137
85,7304.0,16.5,180.59636363636363,0.0,0.0,0.0,0.0,1.079101737506322,3215.550521490839
86,7305.0,13.5,226.92296296296297,0.0,0.0,0.0,0.0,1.0469802288156225,3207.3820517675067
87,7306.0,9.2,199.35652173913044,0.0,0.0,0.0,0.0,1.079101737506322,1979.1589147255952
88,7307.0,12.8,265.6875,0.0,0.0,0.0,0.0,1.079101737506322,3669.8091889115003
89,7312.0,20.8,109.33846153846154,0.0,0.0,0.0,0.0,1.079101737506322,2454.136335506378
90,7313.0,12.8,134.875,1.0,12.8,12.8,0.0,1.0,1726.4
91,7314.0,7.6,126.92105263157896,1.0,7.6,7.6,0.0,1.1290087372451638,1089.041827946685
92,7315.0,9.5,152.1684210526316,1.0,9.5,9.5,0.0,1.144608340091917,1654.6458164368753
93,7320.0,4.8,153.5625,1.0,4.8,4.8,0.0,1.1054585509138382,814.8334978785902
94,7321.0,8.0,137.85625,1.0,8.0,8.0,0.0,1.16317603677932,1282.808692162073
95,7322.0,23.7,81.01890295358649,1.0,23.7,23.7,0.0,1.1290087372451638,2167.863868803827
96,7323.0,3.9,121.87435897435898,1.0,3.9,3.9,0.0,1.1054585509138382,525.4355038348564
97,7328.0,71.0,112.01718309859156,1.0,71.0,71.0,0.0,1.0,7953.22
98,7329.0,4.0,1370.1249999999998,0.0,0.0,0.0,1.0,1.0,5480.499999999999
99,7330.0,1.7,128.75,0.0,0.0,0.0,0.0,1.3440972222222225,294.18927951388895
100,7331.0,4.9,367.4489795918367,0.0,0.0,0.0,0.0,1.1054585509138382,1990.3781209203655
101,7336.0,16.0,306.25,0.0,0.0,0.0,1.0,1.727023581899299,8462.415551306565
102,7337.0,24.8,198.79032258064515,0.0,0.0,0.0,0.0,1.0,4930.0
