Country,Country Code,Region,WJP Rule of Law Index: Overall Score,Factor 2: Absence of Corruption,Factor 6: Regulatory Enforcement
Trinidad and Tobago,TTO,Latin America & Caribbean,0.53,0.49,0.51
Tunisia,TUN,Middle East & North Africa,0.53,0.48,0.52
Turkey,TUR,Eastern Europe & Central Asia,0.42,0.46,0.41
Uganda,UGA,Sub-Saharan Africa,0.39,0.26,0.42
Ukraine,UKR,Eastern Europe & Central Asia,0.51,0.33,0.44
United Arab Emirates,ARE,Middle East & North Africa,0.64,0.80,0.71
United Kingdom,GBR,EU + EFTA + North America,0.79,0.82,0.80
United States,USA,EU + EFTA + North America,0.69,0.72,0.71
Uruguay,URY,Latin America & Caribbean,0.71,0.73,0.71
Uzbekistan,UZB,Eastern Europe & Central Asia,0.49,0.46,0.44
"Venezuela, RB",VEN,Latin America & Caribbean,0.27,0.29,0.19
Vietnam,VNM,East Asia & Pacific,0.49,0.41,0.44
Zambia,ZMB,Sub-Saharan Africa,0.44,0.36,0.43
Zimbabwe,ZWE,Sub-Saharan Africa,0.39,0.31,0.35
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
