,country,city,phase,start_year,end_year,rr,length,tunnelper,tunnel,elevated,atgrade,stations,platform_length_meters,anglo,real_cost_2021,cost_km_2021
636,DE,Munich,U5 to Pasing,2022,2029,0.0,3.8,1,3.8,0,0,3,120,0.0,1333.8000000000002,351.00000000000006
637,IT,Catania,Galatea-Stesicoro,2001,2016,0.0,1.9,1,1.9,0,0,2,80,0.0,130.41362143610027,68.6387481242633
638,IT,Catania,Borgo-Nesima,2007,2017,0.0,3.1,1,3.1,0,0,4,80,0.0,159.56490152181684,51.472548878005426
639,IT,Catania,Nesima-Monte Po,2015,2022,0.0,1.7,1,1.7,0,0,2,80,0.0,130.46340006451436,76.74317650853786
640,IT,Catania,Stesicoro-Aeroporto,2017,2025,0.0,6.4,1,6.4,0,0,8,80,0.0,570.2901306358696,89.10783291185462
641,IT,Catania,Monte-Po- MisterbiancoCentro,2019,2024,0.0,2.1,1,2.1,0,0,2,80,0.0,161.20000000000002,76.76190476190477
642,IT,Catania,Misterbianco Centro-Paterno',2022,2026,0.0,11.5,0.52,6,0,5.5,5,80,0.0,561.6,48.834782608695654
643,IT,Genova,Principe - De Ferrari,1998,2006,0.0,2.5,1,2.5,0,0,4,80,0.0,415.1157976653697,166.0463190661479
644,IT,Genova,De Ferrari - Brignole,2006,2012,0.0,1.5,0.87,1.3,0,0.2,1,80,0.0,328.3918391699334,218.9278927799556
645,IT,Genova,Brin-Canepari + Brignole Martinez,2020,2023,0.0,1.5,0,0,0.3,1.2,2,80,0.0,81.9,54.6
646,IT,Milan,M5 (Bignami Moza),2022,2029,0.0,12.6,1,12.6,0,0,12,50,0.0,1625.0,128.96825396825398
647,IT,Milan,M1 (Bisceglie - Baggio),2022,2027,0.0,3.3,1,3.3,0,0,3,110,0.0,514.8000000000001,156.00000000000003
648,IT,Milan,M1 (Sesto FS - Monza Bettola),2010,2022,0.0,1.9,1,1.9,0,0,2,110,0.0,212.53042186847358,111.85811677288085
649,IT,Milan,M2 (Famagosta-Assago),2001,2011,0.0,4.8,0,0,0,4.8,2,110,0.0,126.25842293906811,26.303838112305858
650,IT,Milan,M3 (Maciachini-Comasina),2001,2011,0.0,3.9,1,3.9,0,0,4,110,0.0,481.5856989247312,123.48351254480289
651,IT,Milan,M1 (Molino Dorino-Rho MilanoFiera),2003,2005,0.0,2.1,1,2.1,0,0,2,110,0.0,177.15614081524618,84.36006705487912
652,IT,Naples,Line 1 (Piscinola - Dante),1986,2003,0.0,13.7,0.7,9.6,4.1,0,14,110,0.0,3972.706304514156,289.97856237329603
653,IT,Naples,MCNE (Piscinola- Aversa),2001,2009,0.0,10.6,1,10.6,0,0,5,110,0.0,1102.0556630824374,103.9675153851356
654,IT,Naples,Line 1/MCNE (Piscinola-Secondigliano),1999,2023,0.0,3.3,1,3.3,0,0,4,110,0.0,631.6453158821587,191.40767147944203
655,CA,Edmonton,Valley Line Southeast,2016,2023,0.0,13.1,0.03,0.4,,,12,125,1.0,1530.0668160856148,116.79899359432174
657,CN,Changzhou,Line 1 Phase 1,2019,2024,0.0,34.237,0.92,31.635,,,29,117,0.0,5567.983,162.63057510880043
658,CN,Changzhou,Line 2 Phase 1,2021,2026,0.0,19.79,1,19.79,,,15,117,0.0,3552.4959999999996,179.50965133906013
659,CN,Foshan,Guangfo Line,2007,2011,0.0,32.16,1,32.16,,,21,78,0.0,5813.196126122767,180.7585860112801
660,CN,Foshan,Line 11,2021,2026,0.0,36.4,0.66,24,,,18,117,0.0,6228.34,171.10824175824177
661,CN,Guilin,Line 1,2020,2025,0.0,29.27,0.06,1.9,,,13,,0.0,2076.6444516268634,70.94788013757646
662,CN,Harbin,Line 2 Phase 2 North and South Ext,2016,2021,0.0,14.1,1,14.1,,,11,117,0.0,2479.585439174691,175.85712334572278
663,CN,Harbin,Line 1 Phase 4,2016,2021,0.0,2.6,1,2.6,,,2,117,0.0,495.91708783493823,190.7373414749762
664,CN,Harbin,Line 2 Phase 1,2021,2026,0.0,28.7,1,28.7,,,19,117,0.0,4896.632,170.61435540069687
665,CN,Harbin,Line 3 Phase 2,2021,2026,0.0,32.18,1,32.2,,,31,117,0.0,6381.3,198.30018645121194
666,CN,Harbin,Line 4 Phase 1,2016,2021,0.0,32.2,1,32.2,,,27,,0.0,6733.137146833218,209.10363810041048
667,CN,Harbin,Line 5 Phase 1,2016,2021,0.0,36.1,1,36.1,,,25,,0.0,6299.563921468958,174.50315571936173
668,CN,Harbin,Line 1 Phase 1,2005,2010,0.0,14.4,1,14.4,,,16,117,0.0,2876.583111111111,199.7627160493827
669,KR,Incheon,Line 2 Goyang Extension Project,2020,2027,0.0,18.5,0.7835,14.49475,,,9.491350457729808,,0.0,2217.234003732454,119.85048668824074
670,KR,Incheon,Line 2,2009,2016,0.0,29.1,0.7835,22.8,,,27,,0.0,3395.5104188262767,116.6842068325181
671,CN,Jiaxing,Hujia Regional Railway (Zhejiang section),2020,2025,1.0,35.01,0,0,,,8,184,0.0,4253.880669677874,121.5047320673486
672,IN,Kanpur,Line 1 and 2,2019,2022,0.0,32.385,0.399,12.921,19.464,,31,,0.0,4785.048000000001,147.75507179249655
