,country,city,phase,start_year,end_year,rr,length,tunnelper,tunnel,elevated,atgrade,stations,platform_length_meters,cost,currency,year,ppp_rate,real_cost,cost_p_km_millions,anglo,inflation_index,real_cost_2021_dollars,cost_p_km_2021_dollars
432,CN,Suzhou,Line S1,,,0.0,41,,,,,27,,27370,CNY,2018.0,0.237,6486.69,158.21195121951217,0.0,1.079101737506322,6999.798449664884,170.72679145524106
436,CN,Changchun,Line 6,,,0.0,29.7,1,29.7,0,0,22,,19549,CNY,2018.0,0.237,4633.112999999999,155.9970707070707,0.0,1.079101737506322,4999.600288363128,168.33671004589655
440,CN,Wuhan,Line 6 Phase 2,,,0.0,7,1,7,0,0,5,,4558,CNY,2018.0,0.237,1080.2459999999999,154.32085714285714,0.0,1.079101737506322,1165.6953355342544,166.52790507632204
448,CN,Xi'an,Line 2 Phase 2,,,0.0,7,1,7,0,0,4,,4289,CNY,2019.0,0.238,1020.7819999999999,145.826,0.0,1.059896658413421,1081.9234307685688,154.56049010979552
450,CN,Xi'an,Line 14,,,0.0,13.8,1,13.8,0,0,8,,8315,CNY,2019.0,0.238,1978.9699999999998,143.4036231884058,0.0,1.059896658413421,2097.5036901004078,151.99302102176867
455,CN,Shanghai,Chongming,,,0.0,44.6,0.59,26.1,0,0,8,,26426,CNY,2018.0,0.237,6262.9619999999995,140.42515695067263,0.0,1.079101737506322,6758.37317613607,151.53303085506883
457,CN,Wuhan,Xingang,,,0.0,30.2,0.8410596026,25.4,0,0,11,,17681,CNY,2018.0,0.237,4190.397,138.7548675496689,0.0,1.079101737506322,4521.864683541279,149.7306186603073
463,CN,Chongqing,Line 4 Phase 2,,,0.0,32.6,0.6340490798,20.67,0,0,14,,18068,CNY,2018.0,0.237,4282.116,131.35325153374234,0.0,1.079101737506322,4620.838815803622,141.74352195716634
471,CN,Wuhan,Line 8 Phase 3,,,0.0,4.9,1,4.9,0,0,2,,2597,CNY,2018.0,0.237,615.4889999999999,125.60999999999997,0.0,1.079101737506322,664.1752493160286,135.5459692481691
475,CN,Wuhan,Line 7 Northern Extension,,,0.0,33.6,0.4047619048,13.6,0,0,9,,17559,CNY,2018.0,0.237,4161.483,123.85366071428571,0.0,1.079101737506322,4490.663535903022,133.65070047330423
481,CN,Changchun,Line 4 Southern Extension,,,0.0,4,0,0,0,0,6,,2013,CNY,2018.0,0.237,477.08099999999996,119.27024999999999,0.0,1.079101737506322,514.8189360312537,128.7047340078134
483,CN,Wuhan,Line 21,,,0.0,33.7,0.7181008902,24.2,9.773,0,15,,16107,CNY,2015.0,0.258,4155.606,123.31175074183975,0.0,1.143251327963817,4750.902077994406,140.97632278915148
485,CN,Shanghai,Line 11 (to Disney),,2016,0.0,9.15,0.1595628415,1.46,7.73,0.0475,3,,4371,CNY,2012.0,0.2808,1227.3768,134.13954098360657,0.0,1.1802137686524912,1448.5669986846349,158.3133331895776
492,CN,Tianjin,M3 Phase 2,,,0.0,3.9,0,0,3.75,0.15,3,,1704,CNY,2015.0,0.258,439.632,112.72615384615385,0.0,1.143251327963817,502.6098678153888,128.8743250808689
502,CN,Changchun,Line 3 Southern Extension,,,0.0,3,0.2666666667,0.8,0,0,2,,839,CNY,2018.0,0.237,198.843,66.28099999999999,0.0,1.079101737506322,214.5718267909696,71.52394226365652
506,CN,Wenzhou,S1 Phase 1,,,0.0,53.5,,,,,,,18606.83,CNY,2014.0,0.266,4949.4167800000005,92.5124631775701,0.0,1.144608340091917,5665.1437249788805,105.8905369154931
507,CN,Wenzhou,S2 Phase 1,,,0.0,70.299,,,,,,,26200,CNY,2014.0,0.266,6969.200000000001,99.13654532781405,0.0,1.144608340091917,7977.004443768588,113.47251659011631
511,CN,Lanzhou,Line 1 Phase 1,,2019,0.0,25.9,1,25.9,,,20,138,19816,CNY,2019.0,0.238,4716.208,182.09297297297297,0.0,1.059896658413421,4998.693099582643,192.99973357461946
548,CN,Shenzhen,Line 1 Phase 2,,,0.0,23.5,0.7787234042553192,18.3,3.43,1.975,15,,12126,CNY,2019.0,0.238,2885.988,122.80799999999999,0.0,1.059896658413421,3058.849037421232,130.1637888264354
549,CN,Shenzhen,Line 2,,,0.0,35.8,1,35.8,0,0,29,,17787,CNY,2019.0,0.238,4233.306,118.24877094972067,0.0,1.059896658413421,4486.866883441486,125.33147719110295
550,CN,Shenzhen,Line 3,,,0.0,41.5,0.44626506024096385,18.52,23.24,0,30,,16858,CNY,2019.0,0.238,4012.2039999999997,96.67961445783132,0.0,1.059896658413421,4252.521612472961,102.4704003005533
551,CN,Shenzhen,Line 4 Phase 2,,,0.0,15.94,0.3193224592220828,5.09,10.9986,0,10,,5799,CNY,2019.0,0.238,1380.162,86.58481806775409,0.0,1.059896658413421,1462.8290918691841,91.77095933934656
552,CN,Shenzhen,Line 5,,,0.0,40.1,0.8927680798004987,35.8,4.411,0,27,,20558,CNY,2019.0,0.238,4892.804,122.01506234413965,0.0,1.059896658413421,5185.86660987182,129.32335685465887
553,CN,Shenzhen,Line 7,,2016,0.0,30.2,1,30.2,0,0,28,,26876,CNY,2013.0,0.273,7337.148,242.95192052980133,0.0,1.16317603677932,8534.394731903314,282.5958520497786
554,CN,Shenzhen,Line 9,,,0.0,25.33,1,25.33,0,0,22,,22371,CNY,2019.0,0.238,5324.298,210.1973154362416,0.0,1.059896658413421,5643.2056585972605,222.78743223834428
649,IT,Milan,M2 (Famagosta-Assago),?,2011,0.0,4.8,0,0,0,4.8,2,110,70,EUR,2005.0,1.3,91.0,18.958333333333336,0.0,1.3874551971326166,126.25842293906811,26.303838112305858
650,IT,Milan,M3 (Maciachini-Comasina),?,2011,0.0,3.9,1,3.9,0,0,4,110,267,EUR,2005.0,1.3,347.1,89.00000000000001,0.0,1.3874551971326166,481.5856989247312,123.48351254480289
685,CN,Wuxi,Line 1 South,,2019,0.0,5.187,1,5.187,,,3,117,2598,CNY,2019.0,0.238,618.324,119.2064777327935,0.0,1.059896658413421,655.3595414168201,126.34654741022172
703,CN,Jinan,Line 3 Phase 1,,2022,0.0,21.57,1,21.6,,,13,117,13446,CNY,2021.0,0.239,3213.594,148.98442280945758,0.0,1.0,3213.594,148.98442280945758
707,CN,Ningbo,Ningbo-Fenghua Line,,2019,0.0,21.59,0.04,0.84,,,9,117,7386,CNY,2019.0,0.238,1757.868,81.42047244094488,0.0,1.059896658413421,1863.1584191318836,86.29728666659952
709,CN,Ningbo,Line 4,,2021,0.0,35.95,0.68,24.45,,,25,117,20560,CNY,2021.0,0.239,4913.84,136.68539638386648,0.0,1.0,4913.84,136.68539638386648
713,CN,Ningbo,Line 3 Phase 1,,2019,0.0,16.73,1,16.73,,,15,117,14870,CNY,2019.0,0.238,3539.06,211.53974895397488,0.0,1.059896658413421,3751.037867924602,224.21027303793196
714,CN,Qingdao,Line 11,,2018,0.0,58.35,0.1,5.81,,,22,117,19500,CNY,2018.0,0.237,4621.5,79.20308483290488,0.0,1.079101737506322,4987.068679885468,85.46818645904828
